iso;geonames_id;woe_id;latitude;longitude;north;east;south;west;en;cs;ru
AF;6255146;24865670;2.07079;15.80048;37.56712;63.525379;-46.900452;-25.35874;Africa;Afrika;Африка
AN;6255152;28289421;-81.5;0;-53.00774;180;-90;-180;Antarctica;Antarktida;Антарктида
AS;6255147;24865671;99.8191;34.9697;19.6381;-12.5611;180;82.5005;Asia;Asie;Азия
EU;6255148;24865675;52.976181;7.85784;81.008797;39.869301;27.636311;-31.266001;Europe;Evropa;Европа
NA;6255149;24865672;44.330818;-109.754723;83.162102;-52.23304;5.49955;-167.276413;North America;Severní Amerika;Северная Америка
OC;6255151;55949070;-30.941031;140.810654;-6.06945;-175.292496;-53.05872;105.377037;Oceania;Oceánie;Океания
SA;6255150;24865673;-23.030081;-67.903702;13.39029;-26.33247;-59.450451;-109.47493;South America;Jižní Amerika;Южная Америка
